Modell	    Antall	Seter	Vingespenn	Marsjfart	Rekkevidde	Drivstofforbruk
A319	    4	    150	    34.1	    850	        5100	    0.031
A320	    11	    168	    34.1	    850	        3900	    0.029
A320NEO	    27	    180	    35.8	    850	        4600	    0.024
A321	    8	    200	    34.1	    850	        3800	    0.029
A330-300	9	    266	    60.3	    875	        10100	    0.033
A340-300	7	    245	    60.3	    875	        12800	    0.039
737-600	    5	    123	    34.3	    825	        2400	    0.038
737-700	    27	    141	    34.3    	825	        4400	    0.032
737-800	    29	    183	    34.3	    825	        4200	    0.029
CRJ900	    24	    90	    23.4	    840	        2100	    0.039
ATR-72-600	9	    70	    27.1	    490	        930	        0.026
